Year,Emirate_EN,Emirate_AR,Value
2007,abu dhabi,أبو ظبي,
2007,Dubai ,دبي,
2007,Sharjah,الشارقة,81.90092389812956
2007,Ajman ,عجمان,79.3163060896706
2007,umm al quwain,ام القيوين,78.15371980936722
2007,Ras al khaimah,راس الخيمة,80.73088126291839
2007,Fujairah,الفجيرة,80.43449504329546
2008,abu dhabi,أبو ظبي,89.38696995335799
2008,Dubai ,دبي,92.4
2008,Sharjah,الشارقة,91.12701583081972
2008,Ajman ,عجمان,88.656915617863
2008,umm al quwain,ام القيوين,86.38181141853615
2008,Ras al khaimah,راس الخيمة,89.85808120828108
2008,Fujairah,الفجيرة,88.84376716166835
2009,abu dhabi,أبو ظبي,90.08791051715956
2009,Dubai ,دبي,96.12
2009,Sharjah,الشارقة,93.03933260214379
2009,Ajman ,عجمان,89.15626308070482
2009,umm al quwain,ام القيوين,86.34048710567549
2009,Ras al khaimah,راس الخيمة,89.98932362482249
2009,Fujairah,الفجيرة,91.01528340091066
2010,abu dhabi,أبو ظبي,92.84561274460918
2010,Dubai ,دبي,96.65
2010,Sharjah,الشارقة,92.3353565456807
2010,Ajman ,عجمان,90.46283857464434
2010,umm al quwain,ام القيوين,88.19725378629293
2010,Ras al khaimah,راس الخيمة,91.99309549226541
2010,Fujairah,الفجيرة,91.73679930533254
2011,abu dhabi,أبو ظبي,94.58847055518044
2011,Dubai ,دبي,97.15
2011,Sharjah,الشارقة,93.86613839385132
2011,Ajman ,عجمان,93.65184117482292
2011,umm al quwain,ام القيوين,92.86407058451664
2011,Ras al khaimah,راس الخيمة,94.78422946750727
2011,Fujairah,الفجيرة,94.49153322750517
2012,abu dhabi,أبو ظبي,95.66107166257859
2012,Dubai ,دبي,95.49
2012,Sharjah,الشارقة,97.20345810404277
2012,Ajman ,عجمان,96.90526400927476
2012,umm al quwain,ام القيوين,96.34453287441904
2012,Ras al khaimah,راس الخيمة,97.15114979538747
2012,Fujairah,الفجيرة,97.54467691749181
2013,abu dhabi,أبو ظبي,98.00406368181739
2013,Dubai ,دبي,96.74
2013,Sharjah,الشارقة,98.39857727385328
2013,Ajman ,عجمان,98.47751064267263
2013,umm al quwain,ام القيوين,97.97886189266387
2013,Ras al khaimah,راس الخيمة,98.48214985744319
2013,Fujairah,الفجيرة,98.53536336703556
2014,abu dhabi,أبو ظبي,100.0
2014,Dubai ,دبي,100.0
2014,Sharjah,الشارقة,100.0
2014,Ajman ,عجمان,100.0
2014,umm al quwain,ام القيوين,100.0
2014,Ras al khaimah,راس الخيمة,100.0
2014,Fujairah,الفجيرة,100.0
2015,abu dhabi,أبو ظبي,104.2513146017486
2015,Dubai ,دبي,103.65
2015,Sharjah,الشارقة,103.38195630599907
2015,Ajman ,عجمان,102.97990466727826
2015,umm al quwain,ام القيوين,102.30775504113309
2015,Ras al khaimah,راس الخيمة,103.00832579363572
2015,Fujairah,الفجيرة,101.73822237604645
2016,abu dhabi,أبو ظبي,106.355
2016,Dubai ,دبي,106.678
2016,Sharjah,الشارقة,104.22762173135051
2016,Ajman ,عجمان,103.44777590774117
2016,umm al quwain,ام القيوين,103.59176187642082
2016,Ras al khaimah,راس الخيمة,102.59514736559004
2016,Fujairah,الفجيرة,102.72274045432367
2017,abu dhabi,أبو ظبي,108.05146745914944
2017,Dubai ,دبي,108.91323788311155
2017,Sharjah,الشارقة,107.08643755334855
2017,Ajman ,عجمان,106.02302046152641
2017,umm al quwain,ام القيوين,105.30221572475
2017,Ras al khaimah,راس الخيمة,105.02075844162191
2017,Fujairah,الفجيرة,105.19532306478504
2010,UAE,الامارات العربية المتحدة,95.17333333333333
2011,UAE,الامارات العربية المتحدة,96.00833333333334
2012,UAE,الامارات العربية المتحدة,96.64416666666666
2013,UAE,الامارات العربية المتحدة,97.70833333333333
2014,UAE,الامارات العربية المتحدة,100.00083333333333
2015,UAE,الامارات العربية المتحدة,104.07083333333334
2016,UAE,الامارات العربية المتحدة,105.75416666666666
2017,UAE,الامارات العربية المتحدة,107.83416666666666
2018,UAE,الامارات العربية المتحدة,111.14320234488223
2019,UAE,الامارات العربية المتحدة,108.99693691731501
